Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:50:37784800,310.8968,305.7728,307.8956,297.2572,240.341915,550,acq500
26/10/2022 16:50:38798800,310.9944,305.4556,307.6028,297.4036,240.341915,598,acq500
26/10/2022 16:50:49796800,310.8724,303.284,305.0896,297.2572,235.713315,843,acq500
26/10/2022 16:50:55802800,310.9456,303.1864,304.3088,297.2572,228.307555,932,acq500
26/10/2022 16:50:56816800,310.8968,302.9668,304.2112,297.2572,228.307555,939,acq500
26/10/2022 16:51:07814800,310.9944,303.1132,303.6256,296.94,224.604675,998,acq500
26/10/2022 16:51:13820800,310.9944,303.0644,303.2108,296.818,221.827515,1016,acq500
26/10/2022 16:51:14834800,310.8968,303.1864,303.2596,296.94,221.827515,1018,acq500
26/10/2022 16:51:25832800,310.8968,302.8936,302.8204,296.8912,209.793155,1039,acq500
26/10/2022 16:51:31838800,310.8968,302.9424,302.6984,296.818,206.090275,1049,acq500
26/10/2022 16:51:32852800,311.0432,302.8936,302.674,296.818,206.090275,1051,acq500
26/10/2022 16:51:43850800,310.9944,302.7472,302.43,296.8424,191.278755,1062,acq500
26/10/2022 16:51:49856800,310.8968,302.8692,302.3568,296.94,184.798715,1068,acq500
26/10/2022 16:51:50870800,310.9944,302.8448,302.3568,296.8424,182.021555,1068,acq500
26/10/2022 16:51:56861200,310.9944,302.7472,302.186,296.8424,178.318675,1069,acq500
26/10/2022 16:51:57937600,310.9944,302.7228,302.2104,296.8424,178.318675,1071,acq500
26/10/2022 16:51:58873600,310.9944,302.8204,302.186,296.818,178.318675,1072,acq500
26/10/2022 16:51:59872000,310.9944,302.8204,302.1128,296.818,177.392955,1077,acq500
26/10/2022 16:52:00932800,310.8968,302.7228,302.1128,296.94,178.318675,1079,acq500
26/10/2022 16:52:01868800,310.9456,302.6496,302.186,296.94,176.467235,1079,acq500
26/10/2022 16:52:02867200,310.8968,302.7472,302.1372,296.8424,176.467235,1079,acq500
26/10/2022 16:52:03881200,310.8724,302.6984,302.1372,296.94,177.392955,1076,acq500
26/10/2022 16:52:04879600,310.9944,302.4056,302.1372,296.9644,177.392955,1074,acq500
26/10/2022 16:52:05878000,310.9456,302.5032,302.1128,296.9156,178.318675,1076,acq500
26/10/2022 16:52:06876400,310.8724,302.5032,302.1372,296.9156,178.318675,1074,acq500
26/10/2022 16:52:07874800,310.848,302.4056,302.1128,296.8424,177.392955,1072,acq500
26/10/2022 16:52:08873200,310.9456,302.3568,302.064,296.94,177.392955,1069,acq500
26/10/2022 16:52:09871600,310.9456,302.4544,302.064,296.8424,176.467235,1069,acq500
26/10/2022 16:52:10870000,310.9456,302.6496,302.0152,296.7936,176.467235,1068,acq500
26/10/2022 16:52:11868400,310.9944,302.6252,302.1128,296.94,175.541515,1069,acq500
26/10/2022 16:52:12882400,310.9456,302.5276,302.064,296.8912,175.541515,1071,acq500
26/10/2022 16:52:13880800,310.9456,302.5276,302.0152,296.8912,177.392955,1074,acq500
26/10/2022 16:52:14879200,310.9944,302.5032,302.064,296.9156,175.541515,1073,acq500
26/10/2022 16:52:15877600,310.9944,302.6496,302.0152,296.7692,177.392955,1077,acq500
26/10/2022 16:52:16876000,310.9944,302.6984,302.0152,296.818,178.318675,1073,acq500
26/10/2022 16:52:17874400,310.9944,302.6984,302.064,296.8424,177.392955,1076,acq500
26/10/2022 16:52:18872800,310.9944,302.5276,302.0152,296.818,177.392955,1076,acq500
26/10/2022 16:52:19871200,310.8724,302.4056,302.0152,296.818,176.467235,1081,acq500
26/10/2022 16:52:20869600,310.8968,302.4056,301.9908,296.8424,175.541515,1084,acq500
26/10/2022 16:52:21883600,310.97,302.5032,301.9664,296.94,175.541515,1086,acq500
26/10/2022 16:52:22882000,310.8968,302.5276,301.9908,296.9156,175.541515,1086,acq500
26/10/2022 16:52:23880400,310.9456,302.4056,301.9908,296.9156,176.467235,1082,acq500
26/10/2022 16:52:24878800,310.8724,302.4788,301.9908,296.8424,178.318675,1079,acq500
26/10/2022 16:52:25877200,310.8724,302.6252,302.064,296.8424,176.467235,1082,acq500
26/10/2022 16:52:26875600,310.8968,302.5032,301.9908,296.8424,177.392955,1083,acq500
26/10/2022 16:52:27874000,310.9456,302.5032,302.064,296.9156,177.392955,1084,acq500
26/10/2022 16:52:28872400,310.8968,302.5276,302.0152,296.9156,175.541515,1086,acq500
26/10/2022 16:52:29870800,310.8968,302.5276,302.0152,296.8424,178.318675,1086,acq500
26/10/2022 16:52:30869200,310.8968,302.4056,302.0152,296.8424,177.392955,1087,acq500
26/10/2022 16:52:31883200,310.8968,302.5032,301.9908,296.8424,178.318675,1086,acq500
26/10/2022 16:52:32881600,310.8968,302.5032,302.064,296.8424,173.690075,1082,acq500
26/10/2022 16:52:33880000,310.8724,302.5032,302.064,296.8424,175.541515,1081,acq500
26/10/2022 16:52:34878400,310.8968,302.5032,302.064,296.8424,176.467235,1081,acq500
26/10/2022 16:52:35876800,310.8724,302.6984,302.0152,296.8424,173.690075,1083,acq500
26/10/2022 16:52:36875200,310.9456,302.6984,302.064,296.818,173.690075,1083,acq500
26/10/2022 16:52:37873600,310.8968,302.5032,302.0152,296.9156,173.690075,1083,acq500
26/10/2022 16:52:38872000,310.8968,302.5032,302.064,296.818,177.392955,1082,acq500
26/10/2022 16:52:39870400,310.8968,302.5276,302.0152,296.8424,178.318675,1081,acq500
26/10/2022 16:52:40868800,310.8968,302.5032,301.9908,296.818,177.392955,1084,acq500
26/10/2022 16:52:41882800,310.97,302.5032,301.9908,296.9156,178.318675,1083,acq500
26/10/2022 16:52:42881200,310.8724,302.5032,301.9908,296.8424,178.318675,1084,acq500
26/10/2022 16:52:43879600,310.9456,302.5032,301.9908,296.8424,176.467235,1084,acq500
26/10/2022 16:52:44878000,310.9456,302.5032,301.9908,296.8424,177.392955,1086,acq500
26/10/2022 16:52:45876400,310.9456,302.5276,301.8932,296.94,178.318675,1087,acq500
26/10/2022 16:52:46874800,310.8724,302.5032,301.9664,296.94,177.392955,1084,acq500
26/10/2022 16:52:47873200,310.8724,302.4056,301.9908,296.9156,177.392955,1083,acq500
26/10/2022 16:52:48871600,310.9456,302.5032,301.9664,296.8424,176.467235,1086,acq500
26/10/2022 16:52:49870000,310.8968,302.4788,301.9664,296.8424,178.318675,1086,acq500
26/10/2022 16:52:50884000,310.8968,302.3324,302.064,296.818,177.392955,1086,acq500
26/10/2022 16:52:51882400,310.9456,302.2348,301.9664,296.8424,177.392955,1086,acq500
26/10/2022 16:52:52880800,310.8968,302.3324,301.9908,296.818,178.318675,1083,acq500
26/10/2022 16:52:53879200,310.8724,302.3324,301.9664,296.818,178.318675,1084,acq500
26/10/2022 16:52:54877600,310.8968,302.3812,301.9908,296.8424,178.318675,1083,acq500
26/10/2022 16:52:55876000,310.8724,302.2836,301.9908,296.818,178.318675,1082,acq500
26/10/2022 16:52:56874400,310.8968,302.4056,301.9664,296.818,178.318675,1084,acq500
26/10/2022 16:52:57872800,310.9456,302.4788,301.942,296.8424,177.392955,1086,acq500
26/10/2022 16:52:58871200,310.8724,302.5032,302.064,296.818,177.392955,1084,acq500
26/10/2022 16:52:59869600,310.8724,302.5276,301.9664,296.9156,178.318675,1082,acq500
26/10/2022 16:53:00883600,310.8724,302.5276,301.942,296.818,175.541515,1084,acq500
26/10/2022 16:53:01882000,310.8724,302.5276,301.942,296.7936,172.764355,1084,acq500
26/10/2022 16:53:02880400,310.8968,302.5032,301.9908,296.8424,171.838635,1086,acq500
26/10/2022 16:53:03878800,310.8968,302.5032,301.8444,296.8424,176.467235,1087,acq500
26/10/2022 16:53:04877200,310.8968,302.5276,301.9664,296.818,175.541515,1086,acq500
26/10/2022 16:53:05875600,310.8968,302.4056,301.9908,296.8424,176.467235,1087,acq500
26/10/2022 16:53:06874000,310.8724,302.5032,302.064,296.7692,178.318675,1086,acq500
26/10/2022 16:53:07888000,310.8724,302.5276,301.9664,296.7936,180.170115,1084,acq500
26/10/2022 16:53:08886400,310.848,302.5032,301.9664,296.8424,181.095835,1088,acq500
26/10/2022 16:53:09884800,310.8968,302.5276,301.9664,296.7692,181.095835,1089,acq500
26/10/2022 16:53:10883200,310.8968,302.3812,301.9664,296.818,177.392955,1087,acq500
26/10/2022 16:53:11881600,310.9944,302.5276,301.9664,296.94,176.467235,1087,acq500
26/10/2022 16:53:12880000,311.0432,302.5032,301.9664,296.818,177.392955,1088,acq500
26/10/2022 16:53:13878400,310.9456,302.5032,301.9664,296.94,173.690075,1089,acq500
26/10/2022 16:53:14876800,310.8968,302.3324,301.942,296.9156,175.541515,1084,acq500
26/10/2022 16:53:15875200,311.0432,302.4056,301.9908,296.8424,175.541515,1083,acq500
26/10/2022 16:53:16873600,310.97,302.2836,301.9664,296.818,171.838635,1087,acq500
26/10/2022 16:53:17872000,311.0432,302.2348,301.9664,296.8424,176.467235,1088,acq500
26/10/2022 16:53:18870400,310.9944,302.3812,301.9664,296.8424,175.541515,1086,acq500
26/10/2022 16:53:19884400,310.9456,302.5032,301.9664,296.818,175.541515,1087,acq500
26/10/2022 16:53:20882800,310.9456,302.5276,301.942,296.94,175.541515,1088,acq500
26/10/2022 16:53:21881200,310.8968,302.5276,301.942,296.8424,176.467235,1091,acq500
26/10/2022 16:53:22879600,310.8968,302.4788,301.9664,296.818,176.467235,1089,acq500
26/10/2022 16:53:23878000,310.9456,302.4056,301.9664,296.8424,176.467235,1088,acq500
26/10/2022 16:53:24876400,310.9456,302.3568,301.942,296.8424,175.541515,1089,acq500
26/10/2022 16:53:25874800,310.8968,302.2836,301.8444,296.8912,176.467235,1088,acq500
26/10/2022 16:53:26935600,310.848,302.3324,301.8444,296.8424,176.467235,1091,acq500
26/10/2022 16:53:27887200,310.848,302.2836,301.9664,296.818,178.318675,1093,acq500
26/10/2022 16:53:28885600,310.7748,302.5276,301.9664,296.818,177.392955,1088,acq500
26/10/2022 16:53:29884000,310.9456,302.2348,301.9664,296.9156,176.467235,1089,acq500
26/10/2022 16:53:30882400,310.8968,302.3324,302.0152,296.9156,175.541515,1088,acq500
26/10/2022 16:53:31943200,310.8724,302.1372,301.9664,296.9644,173.690075,1087,acq500
26/10/2022 16:53:32941600,310.8236,302.2348,301.9664,296.7936,170.912915,1089,acq500
26/10/2022 16:53:33877600,310.848,302.2592,301.942,296.94,173.690075,1088,acq500
26/10/2022 16:53:34876000,310.8968,302.4788,301.942,296.9644,175.541515,1087,acq500
26/10/2022 16:53:35874400,310.8724,302.3324,301.9664,296.94,175.541515,1087,acq500
26/10/2022 16:53:36872800,310.8724,302.2836,301.9908,296.8424,173.690075,1087,acq500
26/10/2022 16:53:37886800,310.8236,302.3324,301.9664,296.8424,176.467235,1089,acq500
