Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:52:31883200,37.746800000,29.353200000,28.840800000,23.692400000,178.318675000,1086.000000000,acq500
26/10/2022 16:52:32881600,37.746800000,29.353200000,28.914000000,23.692400000,173.690075000,1082.000000000,acq500
26/10/2022 16:52:33880000,37.722400000,29.353200000,28.914000000,23.692400000,175.541515000,1081.000000000,acq500
26/10/2022 16:52:34878400,37.746800000,29.353200000,28.914000000,23.692400000,176.467235000,1081.000000000,acq500
26/10/2022 16:52:35876800,37.722400000,29.548400000,28.865200000,23.692400000,173.690075000,1083.000000000,acq500
26/10/2022 16:52:36875200,37.795600000,29.548400000,28.914000000,23.668000000,173.690075000,1083.000000000,acq500
26/10/2022 16:52:37873600,37.746800000,29.353200000,28.865200000,23.765600000,173.690075000,1083.000000000,acq500
26/10/2022 16:52:38872000,37.746800000,29.353200000,28.914000000,23.668000000,177.392955000,1082.000000000,acq500
26/10/2022 16:52:39870400,37.746800000,29.377600000,28.865200000,23.692400000,178.318675000,1081.000000000,acq500
26/10/2022 16:52:40868800,37.746800000,29.353200000,28.840800000,23.668000000,177.392955000,1084.000000000,acq500
26/10/2022 16:52:41882800,37.820000000,29.353200000,28.840800000,23.765600000,178.318675000,1083.000000000,acq500
26/10/2022 16:52:42881200,37.722400000,29.353200000,28.840800000,23.692400000,178.318675000,1084.000000000,acq500
26/10/2022 16:52:43879600,37.795600000,29.353200000,28.840800000,23.692400000,176.467235000,1084.000000000,acq500
26/10/2022 16:52:44878000,37.795600000,29.353200000,28.840800000,23.692400000,177.392955000,1086.000000000,acq500
26/10/2022 16:52:45876400,37.795600000,29.377600000,28.743200000,23.790000000,178.318675000,1087.000000000,acq500
26/10/2022 16:52:46874800,37.722400000,29.353200000,28.816400000,23.790000000,177.392955000,1084.000000000,acq500
26/10/2022 16:52:47873200,37.722400000,29.255600000,28.840800000,23.765600000,177.392955000,1083.000000000,acq500
26/10/2022 16:52:48871600,37.795600000,29.353200000,28.816400000,23.692400000,176.467235000,1086.000000000,acq500
26/10/2022 16:52:49870000,37.746800000,29.328800000,28.816400000,23.692400000,178.318675000,1086.000000000,acq500
26/10/2022 16:52:50884000,37.746800000,29.182400000,28.914000000,23.668000000,177.392955000,1086.000000000,acq500
26/10/2022 16:52:51882400,37.795600000,29.084800000,28.816400000,23.692400000,177.392955000,1086.000000000,acq500
26/10/2022 16:52:52880800,37.746800000,29.182400000,28.840800000,23.668000000,178.318675000,1083.000000000,acq500
26/10/2022 16:52:53879200,37.722400000,29.182400000,28.816400000,23.668000000,178.318675000,1084.000000000,acq500
26/10/2022 16:52:54877600,37.746800000,29.231200000,28.840800000,23.692400000,178.318675000,1083.000000000,acq500
26/10/2022 16:52:55876000,37.722400000,29.133600000,28.840800000,23.668000000,178.318675000,1082.000000000,acq500
26/10/2022 16:52:56874400,37.746800000,29.255600000,28.816400000,23.668000000,178.318675000,1084.000000000,acq500
26/10/2022 16:52:57872800,37.795600000,29.328800000,28.792000000,23.692400000,177.392955000,1086.000000000,acq500
26/10/2022 16:52:58871200,37.722400000,29.353200000,28.914000000,23.668000000,177.392955000,1084.000000000,acq500
26/10/2022 16:52:59869600,37.722400000,29.377600000,28.816400000,23.765600000,178.318675000,1082.000000000,acq500
26/10/2022 16:53:00883600,37.722400000,29.377600000,28.792000000,23.668000000,175.541515000,1084.000000000,acq500
26/10/2022 16:53:01882000,37.722400000,29.377600000,28.792000000,23.643600000,172.764355000,1084.000000000,acq500
26/10/2022 16:53:02880400,37.746800000,29.353200000,28.840800000,23.692400000,171.838635000,1086.000000000,acq500
26/10/2022 16:53:03878800,37.746800000,29.353200000,28.694400000,23.692400000,176.467235000,1087.000000000,acq500
26/10/2022 16:53:04877200,37.746800000,29.377600000,28.816400000,23.668000000,175.541515000,1086.000000000,acq500
26/10/2022 16:53:05875600,37.746800000,29.255600000,28.840800000,23.692400000,176.467235000,1087.000000000,acq500
26/10/2022 16:53:06874000,37.722400000,29.353200000,28.914000000,23.619200000,178.318675000,1086.000000000,acq500
26/10/2022 16:53:07888000,37.722400000,29.377600000,28.816400000,23.643600000,180.170115000,1084.000000000,acq500
26/10/2022 16:53:08886400,37.698000000,29.353200000,28.816400000,23.692400000,181.095835000,1088.000000000,acq500
26/10/2022 16:53:09884800,37.746800000,29.377600000,28.816400000,23.619200000,181.095835000,1089.000000000,acq500
26/10/2022 16:53:10883200,37.746800000,29.231200000,28.816400000,23.668000000,177.392955000,1087.000000000,acq500
26/10/2022 16:53:11881600,37.844400000,29.377600000,28.816400000,23.790000000,176.467235000,1087.000000000,acq500
26/10/2022 16:53:12880000,37.893200000,29.353200000,28.816400000,23.668000000,177.392955000,1088.000000000,acq500
26/10/2022 16:53:13878400,37.795600000,29.353200000,28.816400000,23.790000000,173.690075000,1089.000000000,acq500
26/10/2022 16:53:14876800,37.746800000,29.182400000,28.792000000,23.765600000,175.541515000,1084.000000000,acq500
26/10/2022 16:53:15875200,37.893200000,29.255600000,28.840800000,23.692400000,175.541515000,1083.000000000,acq500
26/10/2022 16:53:16873600,37.820000000,29.133600000,28.816400000,23.668000000,171.838635000,1087.000000000,acq500
26/10/2022 16:53:17872000,37.893200000,29.084800000,28.816400000,23.692400000,176.467235000,1088.000000000,acq500
26/10/2022 16:53:18870400,37.844400000,29.231200000,28.816400000,23.692400000,175.541515000,1086.000000000,acq500
26/10/2022 16:53:19884400,37.795600000,29.353200000,28.816400000,23.668000000,175.541515000,1087.000000000,acq500
26/10/2022 16:53:20882800,37.795600000,29.377600000,28.792000000,23.790000000,175.541515000,1088.000000000,acq500
26/10/2022 16:53:21881200,37.746800000,29.377600000,28.792000000,23.692400000,176.467235000,1091.000000000,acq500
26/10/2022 16:53:22879600,37.746800000,29.328800000,28.816400000,23.668000000,176.467235000,1089.000000000,acq500
26/10/2022 16:53:23878000,37.795600000,29.255600000,28.816400000,23.692400000,176.467235000,1088.000000000,acq500
26/10/2022 16:53:24876400,37.795600000,29.206800000,28.792000000,23.692400000,175.541515000,1089.000000000,acq500
26/10/2022 16:53:25874800,37.746800000,29.133600000,28.694400000,23.741200000,176.467235000,1088.000000000,acq500
26/10/2022 16:53:26935600,37.698000000,29.182400000,28.694400000,23.692400000,176.467235000,1091.000000000,acq500
26/10/2022 16:53:27887200,37.698000000,29.133600000,28.816400000,23.668000000,178.318675000,1093.000000000,acq500
26/10/2022 16:53:28885600,37.624800000,29.377600000,28.816400000,23.668000000,177.392955000,1088.000000000,acq500
26/10/2022 16:53:29884000,37.795600000,29.084800000,28.816400000,23.765600000,176.467235000,1089.000000000,acq500
26/10/2022 16:53:30882400,37.746800000,29.182400000,28.865200000,23.765600000,175.541515000,1088.000000000,acq500
26/10/2022 16:53:31943200,37.722400000,28.987200000,28.816400000,23.814400000,173.690075000,1087.000000000,acq500
26/10/2022 16:53:32941600,37.673600000,29.084800000,28.816400000,23.643600000,170.912915000,1089.000000000,acq500
26/10/2022 16:53:33877600,37.698000000,29.109200000,28.792000000,23.790000000,173.690075000,1088.000000000,acq500
26/10/2022 16:53:34876000,37.746800000,29.328800000,28.792000000,23.814400000,175.541515000,1087.000000000,acq500
26/10/2022 16:53:35874400,37.722400000,29.182400000,28.816400000,23.790000000,175.541515000,1087.000000000,acq500
26/10/2022 16:53:36872800,37.722400000,29.133600000,28.840800000,23.692400000,173.690075000,1087.000000000,acq500
26/10/2022 16:53:37886800,37.673600000,29.182400000,28.816400000,23.692400000,176.467235000,1089.000000000,acq500
26/10/2022 16:53:38885200,37.698000000,29.133600000,28.816400000,23.790000000,177.392955000,1092.000000000,acq500
26/10/2022 16:53:39883600,37.722400000,29.255600000,28.840800000,23.692400000,172.764355000,1091.000000000,acq500
26/10/2022 16:53:40882000,37.673600000,29.377600000,28.840800000,23.668000000,175.541515000,1091.000000000,acq500
26/10/2022 16:53:41880400,37.722400000,29.475200000,28.816400000,23.790000000,173.690075000,1091.000000000,acq500
26/10/2022 16:53:42878800,37.698000000,29.377600000,28.792000000,23.692400000,173.690075000,1093.000000000,acq500
26/10/2022 16:53:43877200,37.722400000,29.206800000,28.816400000,23.765600000,176.467235000,1091.000000000,acq500
26/10/2022 16:53:44875600,37.698000000,29.231200000,28.816400000,23.790000000,175.541515000,1087.000000000,acq500
26/10/2022 16:53:45874000,37.600400000,29.182400000,28.694400000,23.790000000,177.392955000,1086.000000000,acq500
26/10/2022 16:53:46872400,37.698000000,29.060400000,28.816400000,23.765600000,176.467235000,1086.000000000,acq500
26/10/2022 16:53:47870800,37.698000000,29.206800000,28.816400000,23.692400000,176.467235000,1084.000000000,acq500
26/10/2022 16:53:48869200,37.673600000,29.377600000,28.816400000,23.692400000,175.541515000,1084.000000000,acq500
26/10/2022 16:53:49883200,37.698000000,29.377600000,28.816400000,23.765600000,173.690075000,1083.000000000,acq500
26/10/2022 16:53:50866000,37.722400000,29.084800000,28.694400000,23.814400000,173.690075000,1083.000000000,acq500
26/10/2022 16:53:51880000,37.698000000,29.133600000,28.694400000,23.765600000,173.690075000,1086.000000000,acq500
26/10/2022 16:53:53174800,37.698000000,29.206800000,28.816400000,23.790000000,173.690075000,1084.000000000,acq500
26/10/2022 16:53:53876800,37.746800000,29.206800000,28.816400000,23.790000000,175.541515000,1087.000000000,acq500
26/10/2022 16:53:54890800,37.746800000,29.182400000,28.816400000,23.790000000,175.541515000,1091.000000000,acq500
26/10/2022 16:53:55889200,37.673600000,29.206800000,28.840800000,23.765600000,176.467235000,1092.000000000,acq500
26/10/2022 16:53:56903200,37.698000000,29.182400000,28.792000000,23.790000000,175.541515000,1092.000000000,acq500
26/10/2022 16:53:57906600,37.673600000,29.084800000,28.816400000,23.692400000,172.764355000,1093.000000000,acq500
26/10/2022 16:53:58951800,37.746800000,29.011600000,28.816400000,23.668000000,175.541515000,1091.000000000,acq500
26/10/2022 16:53:59939400,37.698000000,29.206800000,28.816400000,23.692400000,173.690075000,1087.000000000,acq500
26/10/2022 16:54:00895400,37.698000000,29.206800000,28.816400000,23.790000000,173.690075000,1089.000000000,acq500
26/10/2022 16:54:01879400,37.722400000,29.206800000,28.816400000,23.790000000,176.467235000,1088.000000000,acq500
26/10/2022 16:54:02893400,37.722400000,29.206800000,28.816400000,23.790000000,176.467235000,1084.000000000,acq500
26/10/2022 16:54:03928400,37.722400000,29.255600000,28.792000000,23.790000000,173.690075000,1087.000000000,acq500
26/10/2022 16:54:04925400,37.746800000,29.377600000,28.816400000,23.765600000,177.392955000,1088.000000000,acq500
26/10/2022 16:54:06212600,37.746800000,29.255600000,28.816400000,23.765600000,175.541515000,1089.000000000,acq500
26/10/2022 16:54:06908800,37.722400000,29.255600000,28.816400000,23.790000000,177.392955000,1092.000000000,acq500
26/10/2022 16:54:08499800,37.673600000,29.206800000,28.816400000,23.790000000,177.392955000,1091.000000000,acq500
26/10/2022 16:54:08904800,37.722400000,29.255600000,28.816400000,23.790000000,176.467235000,1091.000000000,acq500
26/10/2022 16:54:09905800,37.722400000,29.353200000,28.816400000,23.790000000,175.541515000,1092.000000000,acq500
26/10/2022 16:54:12405800,37.722400000,29.084800000,28.816400000,23.790000000,176.467235000,1088.000000000,acq500
26/10/2022 16:54:13207800,37.795600000,29.011600000,28.816400000,23.790000000,175.541515000,1084.000000000,acq500
26/10/2022 16:54:14405000,37.722400000,29.011600000,28.816400000,23.692400000,173.690075000,1084.000000000,acq500
26/10/2022 16:54:15952400,37.746800000,29.255600000,28.816400000,23.790000000,171.838635000,1088.000000000,acq500
26/10/2022 16:54:17885400,37.722400000,29.133600000,28.840800000,23.741200000,175.541515000,1091.000000000,acq500
26/10/2022 16:54:19026400,37.722400000,29.255600000,28.792000000,23.692400000,175.541515000,1092.000000000,acq500
26/10/2022 16:54:20273400,37.722400000,29.353200000,28.816400000,23.692400000,176.467235000,1092.000000000,acq500
26/10/2022 16:54:21174400,37.746800000,29.206800000,28.816400000,23.765600000,175.541515000,1092.000000000,acq500
26/10/2022 16:54:22011400,37.746800000,29.255600000,28.816400000,23.790000000,176.467235000,1091.000000000,acq500
26/10/2022 16:54:23022400,37.746800000,29.206800000,28.816400000,23.790000000,178.318675000,1089.000000000,acq500
26/10/2022 16:54:24043400,37.746800000,29.255600000,28.816400000,23.790000000,176.467235000,1089.000000000,acq500
26/10/2022 16:54:25099400,37.722400000,29.231200000,28.840800000,23.790000000,173.690075000,1089.000000000,acq500
26/10/2022 16:54:25986400,37.746800000,29.231200000,28.840800000,23.790000000,172.764355000,1091.000000000,acq500
26/10/2022 16:54:27388400,37.722400000,29.255600000,28.816400000,23.741200000,175.541515000,1089.000000000,acq500
26/10/2022 16:54:28116400,37.746800000,29.353200000,28.816400000,23.692400000,173.690075000,1088.000000000,acq500
26/10/2022 16:54:28982400,37.722400000,29.499600000,28.816400000,23.692400000,173.690075000,1089.000000000,acq500
26/10/2022 16:54:30068000,37.746800000,29.304400000,28.816400000,23.692400000,175.541515000,1086.000000000,acq500
26/10/2022 16:54:31387200,37.722400000,29.206800000,28.816400000,23.765600000,176.467235000,1086.000000000,acq500
26/10/2022 16:54:32009200,37.698000000,29.255600000,28.816400000,23.790000000,175.541515000,1086.000000000,acq500
26/10/2022 16:54:32984200,37.673600000,29.255600000,28.792000000,23.814400000,172.764355000,1089.000000000,acq500
26/10/2022 16:54:34057200,37.746800000,29.255600000,28.816400000,23.741200000,176.467235000,1091.000000000,acq500
26/10/2022 16:54:35000200,37.746800000,29.353200000,28.743200000,23.790000000,177.392955000,1089.000000000,acq500
26/10/2022 16:54:35985200,37.673600000,29.353200000,28.816400000,23.790000000,178.318675000,1089.000000000,acq500
26/10/2022 16:54:36969200,37.722400000,29.206800000,28.816400000,23.692400000,178.318675000,1089.000000000,acq500
26/10/2022 16:54:37967600,37.722400000,29.182400000,28.792000000,23.790000000,173.690075000,1087.000000000,acq500
26/10/2022 16:54:38981600,37.624800000,29.133600000,28.792000000,23.692400000,175.541515000,1089.000000000,acq500
26/10/2022 16:54:39964400,37.551600000,29.182400000,28.816400000,23.790000000,173.690075000,1087.000000000,acq500
26/10/2022 16:54:40978400,37.600400000,29.377600000,28.840800000,23.790000000,173.690075000,1087.000000000,acq500
26/10/2022 16:54:41976800,37.576000000,29.499600000,28.816400000,23.790000000,175.541515000,1087.000000000,acq500
26/10/2022 16:54:42975200,37.698000000,29.255600000,28.816400000,23.765600000,173.690075000,1088.000000000,acq500
26/10/2022 16:54:43973600,37.673600000,29.255600000,28.816400000,23.692400000,175.541515000,1087.000000000,acq500
26/10/2022 16:54:44972000,37.576000000,29.255600000,28.816400000,23.692400000,173.690075000,1088.000000000,acq500
26/10/2022 16:54:45970400,37.600400000,29.304400000,28.816400000,23.790000000,175.541515000,1088.000000000,acq500
26/10/2022 16:54:46969800,37.502800000,29.206800000,28.792000000,23.765600000,175.541515000,1088.000000000,acq500
26/10/2022 16:54:47968200,37.551600000,29.133600000,28.865200000,23.741200000,175.541515000,1089.000000000,acq500
26/10/2022 16:54:48966600,37.576000000,29.255600000,28.840800000,23.765600000,176.467235000,1089.000000000,acq500
26/10/2022 16:54:49980600,37.698000000,29.206800000,28.718800000,23.790000000,173.690075000,1089.000000000,acq500
26/10/2022 16:54:50979000,37.673600000,29.133600000,28.694400000,23.790000000,175.541515000,1091.000000000,acq500
26/10/2022 16:54:51977400,37.624800000,29.133600000,28.792000000,23.790000000,175.541515000,1089.000000000,acq500
26/10/2022 16:54:52975800,37.576000000,29.011600000,28.694400000,23.765600000,175.541515000,1091.000000000,acq500
26/10/2022 16:54:53974200,37.600400000,29.182400000,28.743200000,23.790000000,177.392955000,1091.000000000,acq500
26/10/2022 16:54:54972600,37.576000000,29.231200000,28.816400000,23.692400000,171.838635000,1088.000000000,acq500
26/10/2022 16:54:55971000,37.576000000,29.182400000,28.816400000,23.790000000,173.690075000,1087.000000000,acq500
26/10/2022 16:54:56969400,37.698000000,29.084800000,28.816400000,23.741200000,170.912915000,1083.000000000,acq500
26/10/2022 16:54:57967800,37.698000000,29.182400000,28.816400000,23.765600000,175.541515000,1086.000000000,acq500
26/10/2022 16:54:58966200,37.576000000,29.182400000,28.816400000,23.765600000,171.838635000,1086.000000000,acq500
26/10/2022 16:54:59981200,37.698000000,29.182400000,28.718800000,23.643600000,175.541515000,1088.000000000,acq500
