Data,T1,T2,T3,T4,F1,F2,Amostra
27/10/2022 20:25:24295000,38.966800000,32.086000000,36.868400000,22.643200000,93.152435000,131.000000000,1000V9
27/10/2022 20:25:25277800,39.040000000,32.208000000,36.844000000,22.692000000,91.300995000,131.000000000,1000V9
27/10/2022 20:25:26245000,39.113200000,32.305600000,36.819600000,22.692000000,93.152435000,131.000000000,1000V9
27/10/2022 20:25:27259000,39.113200000,31.939600000,36.844000000,22.789600000,91.300995000,130.000000000,1000V9
27/10/2022 20:25:28273000,39.113200000,31.939600000,36.868400000,22.643200000,91.300995000,130.000000000,1000V9
27/10/2022 20:25:29255800,39.113200000,32.208000000,36.844000000,22.643200000,91.300995000,132.000000000,1000V9
27/10/2022 20:25:30254200,39.113200000,31.939600000,36.844000000,22.643200000,88.523835000,131.000000000,1000V9
27/10/2022 20:25:31252600,39.113200000,31.939600000,36.844000000,22.740800000,90.375275000,132.000000000,1000V9
27/10/2022 20:25:32251000,39.113200000,31.915200000,36.868400000,22.496800000,90.375275000,131.000000000,1000V9
27/10/2022 20:25:33249400,39.162000000,31.915200000,36.844000000,22.496800000,90.375275000,132.000000000,1000V9
27/10/2022 20:25:34247800,39.113200000,31.915200000,36.770800000,22.643200000,89.449555000,131.000000000,1000V9
